Wall time,Step,Value
1733746717.4305959,800,-82.75756072998047
1733746724.1622171,1600,-66.11461639404297
1733746730.8646464,2400,-80.8516845703125
1733746737.5980308,3200,-97.65232849121094
1733746744.2851245,4000,-67.24114227294922
1733746751.0642297,4800,-60.78995895385742
1733746757.8030972,5600,-60.545143127441406
1733746764.5154593,6400,-86.65926361083984
1733746771.272553,7200,-75.80841827392578
1733746778.005977,8000,-67.48373413085938
1733746787.6564784,8800,-48.06157684326172
1733746794.5024693,9600,-65.12078857421875
1733746801.3112087,10400,-58.50640869140625
1733746808.0767002,11200,-51.66712951660156
1733746814.7932727,12000,-63.0947265625
1733746821.5691779,12800,-91.49981689453125
1733746828.2998989,13600,-55.65966796875
1733746835.0902574,14400,-95.87427520751953
1733746841.811276,15200,-63.8315315246582
1733746848.5919907,16000,-86.55109405517578
1733746858.145032,16800,-52.155818939208984
1733746864.9983647,17600,-90.3470458984375
1733746871.7896159,18400,-65.4103775024414
1733746878.6118832,19200,-49.09992218017578
1733746885.4591599,20000,-90.62750244140625
1733746892.441643,20800,-84.49320220947266
1733746899.271633,21600,-73.7499771118164
1733746906.1251423,22400,-84.9086685180664
1733746912.8930123,23200,-73.46744537353516
1733746919.6654797,24000,-65.65728759765625
1733746929.0366352,24800,-83.48392486572266
1733746935.8043983,25600,-95.42420196533203
1733746942.5424051,26400,-95.78642272949219
1733746949.2868383,27200,-94.09526062011719
1733746956.0256143,28000,-79.63097381591797
1733746962.7648606,28800,-66.29500579833984
1733746969.5426178,29600,-52.986446380615234
1733746976.2432206,30400,-79.45671844482422
1733746982.9467664,31200,-57.78374099731445
1733746989.6455672,32000,-72.43571472167969
1733746998.8425095,32800,-56.524105072021484
1733747005.463673,33600,-72.42151641845703
1733747012.065805,34400,-93.599365234375
1733747018.696133,35200,-68.63755798339844
1733747025.281071,36000,-74.50543212890625
1733747031.929639,36800,-87.14166259765625
1733747038.5402808,37600,-74.3740463256836
1733747045.0870225,38400,-72.79225158691406
1733747051.6111944,39200,-68.79981231689453
1733747058.1559403,40000,-40.645973205566406
1733747064.8099205,40800,-61.76227569580078
1733747073.860348,41600,-37.051998138427734
1733747080.3503592,42400,-68.0782699584961
1733747086.8885086,43200,-75.53951263427734
1733747093.3950627,44000,-81.14527893066406
1733747099.9589736,44800,-50.51597595214844
1733747106.44283,45600,-35.126888275146484
1733747112.9878917,46400,-71.84061431884766
1733747119.498102,47200,-38.343990325927734
1733747125.9714496,48000,-63.82416915893555
1733747132.522613,48800,-73.78560638427734
1733747141.5482907,49600,-55.1041145324707
1733747147.9749908,50400,-65.84932708740234
1733747154.4802012,51200,-88.52183532714844
1733747161.1343298,52000,-61.616416931152344
1733747167.8623457,52800,-88.51075744628906
1733747174.4925756,53600,-64.82723236083984
1733747181.0678504,54400,-41.987117767333984
1733747187.6604316,55200,-90.24906158447266
1733747194.282385,56000,-78.25038146972656
1733747200.9461217,56800,-49.787994384765625
1733747209.965029,57600,-71.54710388183594
1733747216.4002626,58400,-53.788795471191406
1733747222.8135993,59200,-62.184207916259766
1733747229.3163185,60000,-55.36981201171875
1733747235.81562,60800,-44.29363250732422
1733747242.2953136,61600,-75.96709442138672
1733747248.7545793,62400,-53.179893493652344
1733747255.2049506,63200,-73.6141586303711
1733747261.6324503,64000,-42.72675704956055
1733747268.0755959,64800,-63.730709075927734
1733747277.0492923,65600,-96.12894439697266
1733747283.4090116,66400,-57.478572845458984
1733747289.8089788,67200,-61.94738006591797
1733747296.093745,68000,-36.33477783203125
1733747302.449206,68800,-45.59775161743164
1733747308.7672176,69600,-68.15458679199219
1733747315.0738726,70400,-79.73094177246094
1733747321.416051,71200,-73.71658325195312
1733747327.7831671,72000,-81.21349334716797
1733747334.2611809,72800,-57.83155822753906
1733747340.6989164,73600,-35.8664436340332
1733747349.5593724,74400,-77.14740753173828
1733747355.7020137,75200,-47.24475860595703
1733747361.9291518,76000,-58.99831771850586
1733747368.2536387,76800,-92.8773193359375
1733747374.464569,77600,-56.669559478759766
1733747380.6675065,78400,-93.97754669189453
1733747386.9302106,79200,-59.617496490478516
1733747393.1242013,80000,-51.612022399902344
1733747399.369598,80800,-52.320438385009766
1733747405.5526547,81600,-51.30789566040039
1733747414.3764598,82400,-48.03496170043945
1733747420.63097,83200,-89.37716674804688
1733747426.895545,84000,-55.73736572265625
1733747433.1304557,84800,-47.20897674560547
1733747439.3420014,85600,-54.61288070678711
1733747445.586242,86400,-86.4305419921875
1733747451.7461834,87200,-48.2944450378418
1733747457.9615722,88000,-69.48001098632812
1733747464.206416,88800,-71.10615539550781
1733747470.3975327,89600,-51.390380859375
1733747479.3458962,90400,-55.375572204589844
1733747485.6230872,91200,-69.04363250732422
1733747491.969227,92000,-99.2783432006836
1733747498.315556,92800,-72.91800689697266
1733747504.63081,93600,-70.68502807617188
1733747510.8747952,94400,-37.65797805786133
1733747517.1647668,95200,-55.6350212097168
1733747523.450928,96000,-45.63250732421875
1733747529.7636518,96800,-66.44776153564453
1733747536.0048406,97600,-66.0587158203125
1733747544.9095993,98400,-38.56761932373047
1733747551.1441154,99200,-64.24397277832031
1733747557.3768873,100000,-62.79833221435547
1733747563.7353258,100800,-77.00698852539062
1733747570.049067,101600,-27.889604568481445
1733747576.2670903,102400,-62.06719970703125
1733747582.540157,103200,-49.20343017578125
1733747588.8054483,104000,-62.41445541381836
1733747595.1158288,104800,-84.83540344238281
1733747601.3926961,105600,-85.32832336425781
1733747607.7274702,106400,-61.99690246582031
1733747616.5889616,107200,-39.48833084106445
1733747622.7862043,108000,-63.498775482177734
1733747629.1488583,108800,-58.66579818725586
1733747635.4930167,109600,-96.88459777832031
1733747642.097433,110400,-82.76317596435547
1733747648.464594,111200,-121.38385009765625
1733747654.7973773,112000,-74.96202850341797
1733747661.1237037,112800,-73.22711944580078
1733747667.491058,113600,-72.51567840576172
1733747673.7666795,114400,-39.2560920715332
1733747682.6054661,115200,-36.602848052978516
1733747688.757166,116000,-57.85912322998047
1733747695.1285517,116800,-96.9743881225586
1733747701.4688392,117600,-93.76434326171875
1733747707.749272,118400,-42.73612976074219
1733747714.036394,119200,-93.49425506591797
1733747720.3255293,120000,-69.24119567871094
1733747726.6304533,120800,-64.93527221679688
1733747733.3953993,121600,-70.9148941040039
1733747739.7952926,122400,-91.81507110595703
1733747748.7917662,123200,-71.41357421875
1733747755.007018,124000,-61.69200897216797
1733747761.2906325,124800,-76.85716247558594
1733747767.469465,125600,-56.60008239746094
1733747773.7237573,126400,-112.6467056274414
1733747779.9608922,127200,-60.35063934326172
1733747786.11805,128000,-45.605289459228516
1733747792.5552506,128800,-130.9212646484375
1733747798.7818325,129600,-80.09613037109375
1733747805.0051045,130400,-47.56214904785156
1733747813.8276598,131200,-104.935302734375
1733747819.9681094,132000,-79.14788818359375
1733747826.1645794,132800,-85.95230102539062
1733747832.400564,133600,-71.13273620605469
1733747838.605787,134400,-55.41220474243164
1733747844.8083692,135200,-85.80977630615234
1733747850.9761877,136000,-89.04983520507812
1733747857.1956298,136800,-81.48404693603516
1733747863.264898,137600,-60.41577911376953
1733747869.3970034,138400,-85.1913833618164
1733747875.5944839,139200,-47.99900436401367
1733747884.461841,140000,-66.2490005493164
1733747890.6899388,140800,-69.13184356689453
1733747896.8557534,141600,-87.54484558105469
1733747903.0951602,142400,-120.01484680175781
1733747909.2259948,143200,-68.82238006591797
1733747915.409269,144000,-62.697757720947266
1733747921.561216,144800,-80.31149291992188
1733747927.7411199,145600,-88.96155548095703
1733747933.896041,146400,-94.76034545898438
1733747940.0686216,147200,-64.40279388427734
1733747948.6950483,148000,-44.556541442871094
1733747954.7656074,148800,-29.268075942993164
1733747960.8300393,149600,-63.462379455566406
1733747966.8663676,150400,-68.46148681640625
1733747972.897679,151200,-76.32365417480469
1733747978.9343698,152000,-57.85713195800781
1733747985.0192487,152800,-43.49967956542969
1733747991.1285965,153600,-91.70254516601562
1733747997.2530825,154400,-68.6903076171875
1733748003.3081577,155200,-55.34693145751953
1733748011.9740407,156000,-102.3433837890625
1733748018.0285594,156800,-39.68644714355469
1733748024.1039534,157600,-139.0998992919922
1733748030.1976407,158400,-136.56126403808594
1733748036.1797738,159200,-47.18111038208008
1733748042.2164178,160000,-71.38530731201172
1733748048.257417,160800,-79.12968444824219
1733748054.190945,161600,-58.97992706298828
1733748060.175845,162400,-108.62029266357422
1733748066.1281261,163200,-74.61310577392578
1733748074.6509027,164000,-55.40848922729492
1733748080.6906302,164800,-100.48625183105469
