Wall time,Step,Value
1733230316.1288798,800,-1000.1815185546875
1733230317.2335548,1600,-1000.2086181640625
1733230318.2289858,2400,-1000.1632080078125
1733230319.2741888,3200,-1000.1651000976562
1733230320.296258,4000,-1000.2058715820312
1733230321.3972719,4800,-1000.2149658203125
1733230322.538291,5600,-1000.17578125
1733230323.6586719,6400,-1000.202880859375
1733230324.6936781,7200,-1000.1680297851562
1733230325.8007662,8000,-1000.16357421875
1733230329.139423,8800,-1000.175537109375
1733230330.255463,9600,-1000.1613159179688
1733230331.2657044,10400,-1000.1494140625
1733230332.3916252,11200,-1000.1320190429688
1733230333.3585055,12000,-1000.1122436523438
1733230334.3578017,12800,-1000.1339111328125
1733230335.387209,13600,-1000.203369140625
1733230336.6599255,14400,-1000.1593627929688
1733230337.7756655,15200,-1000.1305541992188
1733230338.9003975,16000,-1000.164794921875
1733230342.5439177,16800,-1000.1460571289062
1733230343.5138583,17600,-1000.1148681640625
1733230344.5405955,18400,-1000.150634765625
1733230345.536215,19200,-1000.1643676757812
1733230346.6947567,20000,-1000.1751708984375
1733230347.7506967,20800,-1000.1651000976562
1733230348.7631192,21600,-1000.1016845703125
1733230349.782183,22400,-1000.1431884765625
1733230350.819736,23200,-1000.1705322265625
1733230351.936689,24000,-1000.1838989257812
1733230355.5326018,24800,-1000.1749267578125
1733230356.526221,25600,-1000.1329956054688
1733230357.5354772,26400,-1000.1640014648438
1733230358.5531301,27200,-1000.173583984375
1733230359.6482816,28000,-1000.14111328125
1733230360.831191,28800,-1000.1546630859375
1733230361.8561494,29600,-1000.1734008789062
1733230362.8526084,30400,-1000.1746215820312
1733230363.7818267,31200,-1000.0906372070312
1733230364.9759107,32000,-1000.2357177734375
1733230368.5527616,32800,-1000.123291015625
1733230369.7354424,33600,-1000.1705322265625
1733230370.7345283,34400,-1000.151611328125
1733230371.767104,35200,-1000.1979370117188
1733230372.7599578,36000,-1000.1258544921875
1733230373.7466526,36800,-1000.1433715820312
1733230374.788289,37600,-1000.1381225585938
1733230375.7655234,38400,-1000.1582641601562
1733230376.880666,39200,-1000.1879272460938
1733230377.9405012,40000,-1000.1640625
1733230379.0385125,40800,-1000.1859130859375
1733230382.6278002,41600,-1000.1622314453125
1733230383.737441,42400,-1000.165283203125
1733230384.7393703,43200,-1000.143310546875
1733230386.1139762,44000,-1000.1742553710938
1733230387.1854732,44800,-1000.16455078125
1733230388.1488457,45600,-1000.09912109375
1733230389.2293463,46400,-1000.15087890625
1733230390.47947,47200,-1000.1674194335938
1733230391.5733669,48000,-1000.1539306640625
1733230392.7122624,48800,-1000.1967163085938
1733230397.0955813,49600,-1000.4921875
1733230398.918047,50400,-1000.4048461914062
1733230399.8871222,51200,-1000.1721801757812
1733230401.1657934,52000,-1000.453125
1733230402.4249966,52800,-1000.2427978515625
1733230403.8470829,53600,-1000.3793334960938
1733230404.8935535,54400,-1000.1937866210938
1733230406.1062014,55200,-1000.2835083007812
1733230407.163122,56000,-1000.2621459960938
1733230409.1057987,56800,-1000.434326171875
1733230414.5268567,57600,-1001.9572143554688
1733230416.8439732,58400,-1002.3146362304688
1733230419.588804,59200,-1002.126708984375
1733230421.4984238,60000,-1001.4354858398438
1733230424.3111331,60800,-1001.3193359375
1733230427.69949,61600,-1002.4449462890625
1733230430.2019773,62400,-1002.0665283203125
1733230432.0265727,63200,-1001.2266845703125
1733230435.7854116,64000,-801.67431640625
1733230438.0455537,64800,-1001.626220703125
1733230443.0716279,65600,-1001.6284790039062
1733230447.757322,66400,-1001.5250244140625
