Wall time,Step,Value
1733238055.1822398,800,-1012.8616333007812
1733238059.2672565,1600,-1014.8541259765625
1733238063.3167152,2400,-1012.7235107421875
1733238068.197387,3200,-1013.4111938476562
1733238071.8218794,4000,-1012.7659301757812
1733238075.192113,4800,-1013.1627807617188
1733238079.6308622,5600,-1014.1188354492188
1733238085.790556,6400,-1012.13427734375
1733238090.6376405,7200,-1013.5397338867188
1733238093.9301565,8000,-1010.9429321289062
1733238099.9309454,8800,-1013.3257446289062
1733238103.820638,9600,-1014.973388671875
1733238108.8900201,10400,-811.476318359375
1733238111.5629506,11200,-1011.627197265625
1733238118.286289,12000,-1012.4483642578125
1733238122.679188,12800,-1012.712646484375
1733238128.0328422,13600,-1015.80810546875
1733238132.3490515,14400,-1012.1759643554688
1733238137.6618366,15200,-814.4154052734375
1733238145.0533562,16000,-1013.4683837890625
1733238150.6559875,16800,-1016.9082641601562
1733238156.466174,17600,-813.2376098632812
1733238158.8293004,18400,-1013.743408203125
1733238164.0173664,19200,-1017.9927368164062
1733238166.0701652,20000,-1011.4827270507812
1733238170.9285805,20800,-1018.0755004882812
1733238177.458207,21600,-1017.2094116210938
1733238182.2622414,22400,-1016.873291015625
1733238185.9201634,23200,-1015.9276733398438
1733238190.96091,24000,-1017.9559936523438
1733238198.1967902,24800,-1019.4393310546875
1733238201.889947,25600,-1018.6718139648438
1733238205.9170861,26400,-1016.0823974609375
1733238211.1132102,27200,-1017.630859375
1733238216.0706859,28000,-1020.985107421875
1733238219.6363726,28800,-1017.3409423828125
1733238223.8500597,29600,-1019.6829223632812
1733238228.2722342,30400,-1019.0308837890625
1733238232.5965216,31200,-1020.6787719726562
1733238236.2537947,32000,-1020.6141357421875
1733238242.5522535,32800,-1022.2257080078125
1733238248.281091,33600,-1024.647705078125
1733238251.57357,34400,-1027.0751953125
1733238254.567382,35200,-1023.1904296875
1733238258.2037127,36000,-1026.3055419921875
1733238262.0193434,36800,-1020.8633422851562
1733238266.2268639,37600,-1019.3313598632812
1733238270.960786,38400,-1028.51416015625
1733238275.4199603,39200,-1029.91259765625
1733238278.9714892,40000,-1022.319580078125
1733238281.4889863,40800,-1023.299072265625
1733238289.230711,41600,-1031.8389892578125
1733238293.5225534,42400,-1027.233642578125
1733238296.8616717,43200,-1029.5308837890625
1733238300.6048822,44000,-1027.5250244140625
1733238304.2018049,44800,-1033.5457763671875
1733238307.041476,45600,-1024.4495849609375
1733238310.08909,46400,-1030.9495849609375
1733238314.0022364,47200,-1030.6781005859375
1733238316.2439623,48000,-1024.4803466796875
1733238320.0533206,48800,-1027.2392578125
1733238325.241844,49600,-1033.7684326171875
1733238328.7972836,50400,-1036.874755859375
1733238333.7168472,51200,-1030.014892578125
1733238337.5472112,52000,-1032.4171142578125
1733238341.6449463,52800,-1031.06689453125
1733238344.9350753,53600,-1032.7265625
1733238348.1288333,54400,-1033.9993896484375
1733238351.8778954,55200,-1028.02783203125
1733238355.8037531,56000,-1032.2996826171875
1733238359.776534,56800,-1035.6553955078125
1733238366.33492,57600,-1033.363525390625
1733238369.6574767,58400,-1036.267333984375
1733238374.4700441,59200,-1038.4974365234375
1733238378.2036695,60000,-1035.0462646484375
1733238381.682372,60800,-1034.1654052734375
1733238384.918574,61600,-1041.455078125
1733238391.2358823,62400,-1034.2783203125
1733238395.9210887,63200,-1031.1068115234375
1733238399.8674424,64000,-1031.9139404296875
1733238404.2477105,64800,-1041.570068359375
1733238414.4414074,65600,-842.5170288085938
1733238420.102955,66400,-1049.357666015625
1733238424.5666323,67200,-1043.2315673828125
1733238428.053487,68000,-1037.2724609375
1733238431.585954,68800,-1033.7689208984375
1733238437.7228749,69600,-1050.477294921875
1733238443.6989253,70400,-1044.3555908203125
1733238449.169905,71200,-1045.2257080078125
1733238454.5620756,72000,-1037.8773193359375
1733238461.2370298,72800,-1041.2235107421875
