"Time","PWM","X","Xdot","Theta","Thetadot"
0,-0.496629462753567,0,0,3.14159265358979,-0.0100000000000211
0.01,-0.495682300988486,-0.00034423828125,-0.034423828125,3.14005867280191,-0.15339807878858
0.02,-0.493986426948844,-0.001319580078125,-0.0975341796875,3.13852469201402,-0.153398078788536
0.03,-0.491428580665625,-0.002926025390625,-0.16064453125,3.13392274965037,-0.460194236365696
0.04,-0.487999016478075,-0.00516357421875,-0.2237548828125,3.12625284571094,-0.766990393942812
0.05,-0.485678056760325,-0.0080322265625,-0.286865234375,3.11858294177151,-0.766990393942857
0.06,-0.481138964233181,-0.011531982421875,-0.3499755859375,3.10784507625631,-1.07378655151993
0.07,-0.478344824973559,-0.015662841796875,-0.4130859375,3.09710721074111,-1.07378655151993
0.08,-0.472798915001947,-0.020367431640625,-0.470458984375,3.08330138365014,-1.38058270909709
0.09,-0.468061242771548,-0.025645751953125,-0.52783203125,3.06796157577128,-1.53398078788567
0.1,-0.464623225646312,-0.031497802734375,-0.585205078125,3.05262176789243,-1.53398078788562
0.11,-0.457251560905472,-0.037923583984375,-0.642578125,3.0342139984378,-1.84077694546279
0.12,-0.453346463318026,-0.04486572265625,-0.6942138671875,3.01580622898317,-1.84077694546274
0.13,-0.446901848877853,-0.052381591796875,-0.751586914062499,2.99586447874066,-1.99417502425132
0.14,-0.44008510536238,-0.060413818359375,-0.803222656250001,2.97438874771026,-2.1475731030399
0.15,-0.43512176637359,-0.06896240234375,-0.854858398437499,2.95291301667986,-2.1475731030399
0.16,-0.427566412986258,-0.077969970703125,-0.900756835937501,2.92990330486157,-2.30097118182848
0.17,-0.419247737103228,-0.087493896484375,-0.952392578125,2.9053596122554,-2.45436926061702
0.18,-0.41318686072093,-0.097476806640625,-0.998291015625,2.88081591964923,-2.45436926061702
0.19,-0.406886527103191,-0.107861328125,-1.0384521484375,2.85627222704306,-2.45436926061702
0.2,-0.397246519466137,-0.118704833984375,-1.0843505859375,2.83019455364901,-2.6077673394056
0.21,-0.392494249065489,-0.13000732421875,-1.1302490234375,2.80565086104284,-2.45436926061702
0.22,-0.382230208878978,-0.141654052734375,-1.1646728515625,2.77957318764878,-2.6077673394056
0.23,-0.373898789958822,-0.153702392578125,-1.204833984375,2.75349551425473,-2.6077673394056
0.24,-0.365177008536504,-0.166094970703125,-1.2392578125,2.72741784086067,-2.6077673394056
0.25,-0.358385239612712,-0.17888916015625,-1.2794189453125,2.7028741482545,-2.45436926061702
0.26,-0.345937258713988,-0.19197021484375,-1.30810546875,2.67679647486044,-2.6077673394056
0.27,-0.337916333200651,-0.2053955078125,-1.342529296875,2.65225278225427,-2.45436926061702
0.28,-0.3292391048389,-0.219107666015625,-1.3712158203125,2.62924307043599,-2.30097118182848
0.29,-0.317402490440863,-0.23304931640625,-1.3941650390625,2.6062333586177,-2.30097118182844
0.3,-0.304093497226575,-0.247335205078125,-1.4285888671875,2.58322364679942,-2.30097118182848
0.31,-0.292329450435033,-0.2618505859375,-1.4515380859375,2.56174791576902,-2.1475731030399
0.32,-0.277000016394876,-0.2765380859375,-1.46875,2.54027218473862,-2.1475731030399
0.33,-0.264017162263384,-0.291455078125,-1.49169921875,2.52186441528399,-1.84077694546274
0.34,-0.244498535466195,-0.3066015625,-1.5146484375,2.50345664582937,-1.84077694546279
0.35,-0.224147346506578,-0.32186279296875,-1.526123046875,2.48658285716262,-1.68737886667421
0.36,-0.199245761672913,-0.33723876953125,-1.53759765625,2.47124304928377,-1.53398078788562
0.37,-0.167178623593777,-0.3527294921875,-1.549072265625,2.4574372221928,-1.38058270909709
0.38,-0.122456265612358,-0.368277587890625,-1.5548095703125,2.44516537588971,-1.22718463030851
0.39,-0.0473599988179186,-0.38382568359375,-1.5548095703125,2.43442751037451,-1.07378655151997
0.4,0.354617160311677,-0.39931640625,-1.549072265625,2.4252236256472,-0.920388472731348
0.41,0.5,-0.414405517578125,-1.5089111328125,2.42062168328354,-0.460194236365696
0.42,0.5,-0.428748779296875,-1.434326171875,2.41755372170777,-0.30679615757716
0.43,0.5,-0.442288818359375,-1.35400390625,2.41908770249566,0.15339807878858
